Admin1,Admin2,Admin3,Lon,Lat
Haut-Uele,Aba,Aba,30.23818231,3.858422322
Bas-Uele,Aketi,Aketi,23.7546118,2.98006552
Bas-Uele,Ango,Ango,26.07260084,4.471873304
Ituri,Ariwara,Ariwara,30.70698315,3.136862423
Ituri,Aru,Aru,30.53328867,3.066448432
Tshopo,Bafwasende,Bafwasende,26.99689095,0.735505906
Kwilu,Bagata,Bagata,17.71113187,-3.904869121
Bas-Uele,Bambesa,Bambesa,25.9728559,3.092991385
Tshopo,Banalia,Banalia,25.45824197,1.583729414
Kwilu,Bandundu,Bandundu,17.44519213,-3.316335732
Kongo-Central,Bangu,Bangu,14.45237682,-5.553872082
Sud-Kivu,Baraka,Baraka,29.09150881,-4.089729485
Equateur,Basankusu,Basankusu,20.00085507,1.087295451
Tshopo,Basoko,Basoko,23.92547158,1.564597443
Tshuapa,Befale,Befale,21.15380869,0.501748848
Sankuru,Bena-Dibele,Bena-Dibele,22.90895867,-4.226249344
Nord-Kivu,Beni,Beni,29.45546883,0.474898142
Equateur,Bikoro,Bikoro,18.18664072,-0.810483538
Tshuapa,Boende,Boende,20.99943127,-0.494640768
Tshuapa,Bokungu,Bokungu,22.19678781,-0.852509135
Maï-Ndombe,Bolobo,Bolobo,16.38079298,-2.682583393
Equateur,Bolomba,Bolomba,19.2448761,0.402000654
Kongo-Central,Boma,Boma,13.05348876,-5.813406719
Equateur,Bomongo,Bomongo,18.57643924,1.665906275
Bas-Uele,Bondo,Bondo,24.09861999,4.194597373
Mongala,Bongandanga,Bongandanga,21.19659362,1.577921831
Nord-Ubangi,Bosobolo,Bosobolo,19.79065748,4.549331765
Sud-Ubangi,Budjala,Budjala,19.96027843,2.533435611
Haut-Lomami,Bukama,Bukama,26.12785695,-8.848852605
Sud-Kivu,Bukavu,Bukavu,28.84564722,-2.500394731
Kwilu,Bulungu,Bulungu,18.6919316,-4.661627529
Mongala,Bumba,Bumba,22.53121849,2.549228066
Ituri,Bunia,Bunia,30.2578246,1.546070796
Nord-Ubangi,Businga,Businga,20.93041762,3.393068968
Bas-Uele,Buta,Buta,25.17204892,2.817753769
Nord-Kivu,Butembo,Butembo,29.27712294,0.150640363
Kasaï,Dekese,Dekese,21.37313968,-3.28823543
Kasaï-Central,Demba,Demba,22.25815079,-5.342868771
Kasaï-Central,Dibaya,Dibaya,22.61578536,-6.315811908
Kwilu,Dibaya-Lubwe,Dibaya-Lubwe,19.861958,-4.15529999
Lualaba,Dilolo,Dilolo,22.73185688,-10.55303521
Kasaï-Central,Dimbelenge,Dimbelenge,23.0530131,-5.459217838
Bas-Uele,Dingila,Dingila,26.07419774,3.650517376
Tshuapa,Djolu,Djolu,22.4518982,0.702269145
Ituri,Djugu,Djugu,30.68196648,1.805370013
Haut-Uele,Dungu,Dungu,29.11279992,3.893408999
Haut-Uele,Faradje,Faradje,29.97795761,3.539794219
Kwango,Feshi,Feshi,18.31991781,-6.297125729
Sud-Kivu,Fizi,Fizi,28.83414584,-4.276964715
Nord-Ubangi,Gbadolite,Gbadolite,20.87605439,4.282599955
Sud-Ubangi,Gemena,Gemena,19.69330845,3.399627107
Nord-Kivu,Goma,Goma,29.19779287,-1.653997982
Kwilu,Gungu,Gungu,19.27522287,-5.770301673
Kwilu,Idiofa,Idiofa,19.52742777,-4.674428552
Sud-Kivu,Idjwi,Idjwi,29.09261567,-2.009168323
Tshuapa,Ikela,Ikela,23.2596921,-1.186562477
Kasaï,Ilebo,Ilebo,20.55963845,-5.041210456
Ituri,Ingbokolo,Ingbokolo,30.76904246,3.399574705
Equateur,Ingende,Ingende,19.3984782,-0.60217691
Kongo-Central,Inkisi,Inkisi,15.09689022,-5.139201119
Maï-Ndombe,Inongo,Inongo,18.15820858,-1.922169122
Ituri,Irumu,Irumu,29.92486592,1.227697362
Tshopo,Isangi,Isangi,24.2038321,0.530672808
Haut-Uele,Isiro,Isiro,27.63698805,2.767203078
Tanganyika,Kabalo,Kabalo,26.89194632,-6.254096859
Maniema,Kabambare,Kabambare,27.72638782,-4.547682427
Sud-Kivu,Kabare,Kabare,28.40717852,-2.556696332
Kasaï-Oriental,Kabeya-Kamwanga,Kabeya-Kamwanga,23.17808922,-5.965576754
Lomami,Kabinda,Kabinda,24.63796862,-6.130217749
Haut-Lomami,Kabongo,Kabongo,25.58964476,-7.081498186
Kwango,Kahemba,Kahemba,19.00485461,-7.30385833
Maniema,Kailo,Kailo,25.68769653,-2.507068215
Sud-Kivu,Kalehe,Kalehe,28.64146137,-2.053085306
Tanganyika,Kalemie,Kalemie,28.93681008,-5.96122699
Maniema,Kalima,Kalima,26.55753717,-2.512199806
Haut-Katanga,Kambove,Kambove,26.59135321,-11.29508527
Lomami,Kamiji,Kamiji,23.22702591,-6.702598361
Haut-Lomami,Kamina,Kamina,24.92189126,-8.770221169
Sud-Kivu,Kamituga,Kamituga,28.19279021,-3.061389721
Kasaï,Kamonia,Kamonia,20.20699044,-6.41136452
Kasaï-Central,Kananga,Kananga,22.4692451,-5.894537091
Haut-Lomami,Kaniama,Kaniama,24.15460189,-7.86749806
Tanganyika,Kaoze,Kaoze,29.778153,-7.045862671
Lualaba,Kapanga,Kapanga,22.79795111,-8.411782892
Lualaba,Kasaji,Kasaji,23.45490358,-10.36055034
Kongo-Central,Kasangulu,Kasangulu,15.34642448,-4.783792527
Haut-Katanga,Kasenga,Kasenga,27.97096308,-10.44769396
Maniema,Kasongo,Kasongo,26.45951184,-4.364509735
Kwango,Kasongo-Lunda,Kasongo-Lunda,17.58901583,-7.048275562
