Name,Lon,Lat
Kialo,26.92443384,-6.295830964
Ankoro,26.94999996,-6.75000002
Muyumba,27.02279592,-7.260769987
Kabala,26.86030992,-7.996391008
Mulongo,26.97125004,-7.848348968
Kabumbulu,26.79235488,-7.683562034
Bundala,26.95457304,-7.433668075
Malemba-N'Kulu,26.817219,-8.053429932
Kabalo,26.90553888,-6.055069933
Ubundu,25.462485,-0.335406962
Kirundu,25.49300112,-0.763939054
Lowa,25.86283416,-1.40962208
Kowe,25.85587788,-1.649185089
Kailenge,25.76901492,-2.266348948
Lokandu,25.78799088,-2.515538988
Elila,25.87248,-2.745652916
Kindu,25.932132,-2.947696956
Lilo,25.43064192,-0.61136507
Kalemie,29.19999996,-5.933000013
Kabimba,29.35000008,-5.550000041
Bukavu,28.86699996,-2.500000073
Bugarura,29.06200008,-2.03899996
Kinyezire,28.98299988,-1.849999923
Makelele,29.016,-1.761999964
Goma,29.23400016,-1.692999995
Maluku,15.570414,-4.046118029
Kinshasa,15.30087804,-4.294921055
Kuzulu,16.13442384,-3.477553965
Malela,16.19561808,-3.177763941
Tshumbiri,16.24180284,-2.65235204
Bolobo,16.22817504,-2.164739076
Yumbi,16.52100012,-1.899000035
Lukolela,17.20199988,-1.054000012
Irebu,17.70912216,-0.609670068
Mbandaka,18.22926996,0.081753013
Lulonga,18.33981192,0.620830043
Makanza,19.14531984,1.569169959
Lusengo,19.48299984,1.766999954
Mobeka,19.76720004,1.851629998
Ukatura,20.39807988,1.97590994
Lisala,21.53323008,2.11503002
Yambinga,22.592547,2.087355942
Bumba,22.42662984,2.145989993
Basoko,23.57778996,1.208189941
Isangi,24.29316,0.779269967
Kisangani,25.18978896,0.504492026
Yanonge,24.67190592,0.637129947
Masia,16.51577508,-3.060135015
Mushie,16.90245684,-3.036033948
Mabenga,18.62411508,-3.60139706
Kese,18.08099892,-3.402593014
Lumbu,17.46953496,-3.254168965
Bandundu,17.36281188,-3.313556918
Eolo,18.91640484,-3.69521402
Mangai,19.56985812,-4.029708916
Ilebo,20.57059584,-4.329239088
Basongo,20.36502504,-4.320515955
Dibaya,19.87602804,-4.138203987
Malembe,20.63709684,-4.411601048
Bena Makina,21.07542492,-4.972813949
Luebo,21.40967916,-5.331023921
Lusanga,21.07280016,-5.236900077
Bashishombe,21.03779988,-4.638167977
Makayabo,20.93017284,-4.622480021
Pono,17.73298404,-3.603118986
Bagata,17.951787,-3.732263029
Tshimbane,18.20000016,-4.016999995
Bilili,18.400176,-4.366586973
Mitshakilaf,18.73153389,-4.673883306
Bulungu,18.60154655,-4.533640747
